"date","binary_high_earnings","average_index","before_score_card","month","Month"
2013-03-01,"0",0.467918485497411,"0","3","3"
2013-03-01,"1",0.894679512552984,"0","3","3"
2013-04-01,"0",0.490694078413153,"0","4","4"
2013-04-01,"1",0.713425860792936,"0","4","4"
2013-05-01,"0",0.0819929129218305,"0","5","5"
2013-05-01,"1",0.387423997526051,"0","5","5"
2013-06-01,"0",-0.339899794114611,"0","6","6"
2013-06-01,"1",0.013796061057924,"0","6","6"
2013-07-01,"0",-0.112181753644841,"0","7","7"
2013-07-01,"1",0.171109034583532,"0","7","7"
2013-08-01,"0",0.638129589824116,"0","8","8"
2013-08-01,"1",0.690000677757129,"0","8","8"
2013-09-01,"0",0.754491390015444,"0","9","9"
2013-09-01,"1",0.831774331998731,"0","9","9"
2013-10-01,"0",0.559590897568512,"0","10","10"
2013-10-01,"1",0.630566993361109,"0","10","10"
2013-11-01,"0",0.301675377781945,"0","11","11"
2013-11-01,"1",0.30672772740536,"0","11","11"
2013-12-01,"0",-0.298117081425692,"0","12","12"
2013-12-01,"1",-0.189303258125272,"0","12","12"
2014-01-01,"0",0.451892277987854,"0","1","1"
2014-01-01,"1",0.521997217911825,"0","1","1"
2014-02-01,"0",0.221379006460095,"0","2","2"
2014-02-01,"1",0.184926440398725,"0","2","2"
2014-03-01,"0",0.177421051460169,"0","3","3"
2014-03-01,"1",0.311414905886892,"0","3","3"
2014-04-01,"0",0.110974720529913,"0","4","4"
2014-04-01,"1",0.125823355035331,"0","4","4"
2014-05-01,"0",-0.15436948139872,"0","5","5"
2014-05-01,"1",-0.0691131088945258,"0","5","5"
2014-06-01,"0",-0.536713273416507,"0","6","6"
2014-06-01,"1",-0.359489316494756,"0","6","6"
2014-07-01,"0",-0.345619210993285,"0","7","7"
2014-07-01,"1",-0.20614132228161,"0","7","7"
2014-08-01,"0",0.328918294469081,"0","8","8"
2014-08-01,"1",0.198936625244796,"0","8","8"
2014-09-01,"0",0.413466991466302,"0","9","9"
2014-09-01,"1",0.327988728933556,"0","9","9"
2014-10-01,"0",0.304234147628197,"0","10","10"
2014-10-01,"1",0.163592674401554,"0","10","10"
2014-11-01,"0",0.0684106552630523,"0","11","11"
2014-11-01,"1",-0.0480679887891868,"0","11","11"
2014-12-01,"0",-0.655098356180333,"0","12","12"
2014-12-01,"1",-0.639905494297454,"0","12","12"
2015-01-01,"0",0.075052749995126,"0","1","1"
2015-01-01,"1",0.0495095963959832,"0","1","1"
2015-02-01,"0",-0.0554269322117562,"0","2","2"
2015-02-01,"1",-0.16011448628813,"0","2","2"
2015-03-01,"0",-0.0505121130533817,"0","3","3"
2015-03-01,"1",-0.0234900251856395,"0","3","3"
2015-04-01,"0",-0.0339579571928373,"0","4","4"
2015-04-01,"1",-0.130578344876083,"0","4","4"
2015-05-01,"0",-0.393426446866016,"0","5","5"
2015-05-01,"1",-0.450588185118613,"0","5","5"
2015-06-01,"0",-0.737566661255482,"0","6","6"
2015-06-01,"1",-0.724821253372062,"0","6","6"
2015-07-01,"0",-0.559855881052778,"0","7","7"
2015-07-01,"1",-0.552585406049926,"0","7","7"
2015-08-01,"0",0.157999184429404,"0","8","8"
2015-08-01,"1",-0.106364801853021,"0","8","8"
2015-09-01,"0",0.274524150812611,"1","9","9"
2015-09-01,"1",0.00894431319249563,"1","9","9"
2015-10-01,"0",0.156008517240172,"1","10","10"
2015-10-01,"1",-0.019762133019493,"1","10","10"
2015-11-01,"0",-0.078184754753482,"1","11","11"
2015-11-01,"1",-0.3232193736368,"1","11","11"
2015-12-01,"0",-0.743156349637516,"1","12","12"
2015-12-01,"1",-0.799637289373078,"1","12","12"
2016-01-01,"0",-0.0534297564312955,"1","1","1"
2016-01-01,"1",-0.233291391777122,"1","1","1"
2016-02-01,"0",-0.225408330411738,"1","2","2"
2016-02-01,"1",-0.452104709504964,"1","2","2"
2016-03-01,"0",-0.223210257302834,"1","3","3"
2016-03-01,"1",-0.282593066051827,"1","3","3"
